declarationNumber,declarationType,declarationDate,year,month,quarter,day,dayOfWeek,state,stateName,region,county,incidentType,disasterTitle,startDate,endDate,closeDate
DR-1,Disaster,1953-05-02,1953.0,5.0,2.0,2.0,Saturday,GA,Georgia,South,,Tornado,Tornado,1953-05-02,1953-05-02,1954-06-01
DR-4,Disaster,1953-06-02,1953.0,6.0,2.0,2.0,Tuesday,MI,Michigan,Midwest,,Tornado,Tornado,1953-06-02,1953-06-02,1956-02-01
DR-5,Disaster,1953-06-06,1953.0,6.0,2.0,6.0,Saturday,MT,Montana,West,,Flood,Floods,1953-06-06,1953-06-06,1955-12-01
DR-6,Disaster,1953-06-09,1953.0,6.0,2.0,9.0,Tuesday,MI,Michigan,Midwest,,Tornado,Tornado,1953-06-09,1953-06-09,
DR-7,Disaster,1953-06-11,1953.0,6.0,2.0,11.0,Thursday,MA,Massachusetts,Northeast,,Tornado,Tornado,1953-06-11,1953-06-11,1956-06-01
DR-8,Disaster,1953-06-11,1953.0,6.0,2.0,11.0,Thursday,IA,Iowa,Midwest,,Flood,Flood,1953-06-11,1953-06-11,1955-11-01
DR-11,Disaster,1953-07-02,1953.0,7.0,3.0,2.0,Thursday,NH,New Hampshire,Northeast,,Fire,Forest Fire,1953-07-02,1953-07-02,1956-02-01
DR-14,Disaster,1953-12-06,1953.0,12.0,4.0,6.0,Sunday,MS,Mississippi,South,,Tornado,Tornado,1953-12-06,1953-12-06,1956-06-01
DR-15,Disaster,1954-02-05,1954.0,2.0,1.0,5.0,Friday,CA,California,West,,Flood,Flood and Erosion,1954-02-05,1954-02-05,1957-09-01
DR-18,Disaster,1954-07-01,1954.0,7.0,3.0,1.0,Thursday,TX,Texas,South,,Flood,Flood,1954-07-01,1954-07-01,1959-07-01
DR-21,Disaster,1954-08-04,1954.0,8.0,3.0,4.0,Wednesday,WV,West Virginia,South,,Flood,Flood,1954-08-04,1954-08-04,1957-05-01
DR-22,Disaster,1954-09-02,1954.0,9.0,3.0,2.0,Thursday,MA,Massachusetts,Northeast,,Hurricane,Hurricanes,1954-09-02,1954-09-02,1956-12-01
DR-23,Disaster,1954-09-02,1954.0,9.0,3.0,2.0,Thursday,RI,Rhode Island,Northeast,,Hurricane,Hurricanes,1954-09-02,1954-09-02,1956-12-01
DR-26,Disaster,1954-10-07,1954.0,10.0,4.0,7.0,Thursday,NY,New York,Northeast,,Hurricane,Hurricanes,1954-10-07,1954-10-07,1956-12-01
DR-31,Disaster,1954-11-10,1954.0,11.0,4.0,10.0,Wednesday,AK,Alaska,West,,Other,Severe Hardship,1954-11-10,1954-11-10,1957-09-01
DR-32,Disaster,1955-04-01,1955.0,4.0,2.0,1.0,Friday,HI,Hawaii,West,,Volcano,Volcano,1955-04-01,1955-04-01,1957-06-01
DR-35,Disaster,1955-06-01,1955.0,6.0,2.0,1.0,Wednesday,OK,Oklahoma,South,,Flood,Flood and Tornado,1955-06-01,1955-06-01,1959-12-01
DR-53,Disaster,1956-04-05,1956.0,4.0,2.0,5.0,Thursday,MI,Michigan,Midwest,,Tornado,Tornado,1956-04-05,1956-04-05,
DR-54,Disaster,1956-04-07,1956.0,4.0,2.0,7.0,Saturday,OK,Oklahoma,South,,Tornado,Tornadoes,1956-04-07,1956-04-07,1959-06-01
DR-59,Disaster,1956-06-12,1956.0,6.0,2.0,12.0,Tuesday,CO,Colorado,West,,Flood,Flood,1956-06-12,1956-06-12,1959-04-01
DR-61,Disaster,1956-08-09,1956.0,8.0,3.0,9.0,Thursday,PA,Pennsylvania,Northeast,,Storm,Storm,1956-08-09,1956-08-09,1959-06-01
DR-64,Disaster,1956-10-04,1956.0,10.0,4.0,4.0,Thursday,LA,Louisiana,South,,Hurricane,Hurricane,1956-10-04,1956-10-04,1960-03-01
DR-68,Disaster,1957-02-01,1957.0,2.0,1.0,1.0,Friday,VA,Virginia,South,,Flood,Floods,1957-02-01,1957-02-01,1958-03-01
DR-69,Disaster,1957-03-01,1957.0,3.0,1.0,1.0,Friday,OR,Oregon,West,,Flood,Flood,1957-03-01,1957-03-01,1960-06-01
DR-70,Disaster,1957-03-06,1957.0,3.0,1.0,6.0,Wednesday,WA,Washington,West,,Flood,Floods,1957-03-06,1957-03-06,1961-01-01
DR-81,Disaster,1957-09-05,1957.0,9.0,3.0,5.0,Thursday,KS,Kansas,Midwest,,Flood,Floods,1957-09-05,1957-09-05,1959-01-01
DR-82,Disaster,1958-04-04,1958.0,4.0,2.0,4.0,Friday,CA,California,West,,Flood,Heavy Rainstorms and Flood,1958-04-04,1958-04-04,1961-08-01
DR-85,Disaster,1958-06-06,1958.0,6.0,2.0,6.0,Friday,TX,Texas,South,,Tornado,"Tornadoes, Rain, Hail and Floods",1958-06-06,1958-06-06,1961-03-01
DR-86,Disaster,1958-07-05,1958.0,7.0,3.0,5.0,Saturday,IA,Iowa,Midwest,,Flood,Floods,1958-07-05,1958-07-05,1960-09-01
DR-87,Disaster,1958-10-01,1958.0,10.0,4.0,1.0,Wednesday,NC,North Carolina,South,,Hurricane,Hurricane and Severe Storm,1958-10-01,1958-10-01,1960-12-01
DR-88,Disaster,1958-11-06,1958.0,11.0,4.0,6.0,Thursday,KS,Kansas,Midwest,,Flood,Floods,1958-11-06,1958-11-06,1961-03-01
DR-92,Disaster,1959-07-08,1959.0,7.0,3.0,8.0,Wednesday,OK,Oklahoma,South,,Flood,Flood,1959-07-08,1959-07-08,1961-05-01
DR-93,Disaster,1959-07-08,1959.0,7.0,3.0,8.0,Wednesday,TX,Texas,South,,Flood,Floods,1959-07-08,1959-07-08,
DR-95,Disaster,1959-11-09,1959.0,11.0,4.0,9.0,Monday,OK,Oklahoma,South,,Flood,Heavy Rains and Floods,1959-11-09,1959-11-09,
DR-98,Disaster,1960-04-04,1960.0,4.0,2.0,4.0,Monday,NE,Nebraska,Midwest,,Flood,Floods,1960-04-04,1960-04-04,
DR-99,Disaster,1960-04-08,1960.0,4.0,2.0,8.0,Friday,SD,South Dakota,Midwest,,Flood,Floods,1960-04-08,1960-04-08,1961-11-02
DR-106,Disaster,1960-09-12,1960.0,9.0,3.0,12.0,Monday,FL,Florida,South,,Hurricane,Hurricane Donna,1960-09-12,1960-09-12,
DR-110,Disaster,1961-03-02,1961.0,3.0,1.0,2.0,Thursday,GA,Georgia,South,,Flood,Floods,1961-03-02,1961-03-02,
DR-122,Disaster,1962-03-06,1962.0,3.0,1.0,6.0,Tuesday,CA,California,West,,Flood,Floods,1962-03-06,1962-03-06,1964-02-03
DR-123,Disaster,1962-03-09,1962.0,3.0,1.0,9.0,Friday,VA,Virginia,South,,Flood,"Severe Storms, High Tides, and Flooding",1962-03-09,1962-03-09,
DR-124,Disaster,1962-03-09,1962.0,3.0,1.0,9.0,Friday,NJ,New Jersey,Northeast,,Flood,"Severe Storm, High Tides, and Flooding",1962-03-09,1962-03-09,
DR-125,Disaster,1962-03-09,1962.0,3.0,1.0,9.0,Friday,WV,West Virginia,South,,Flood,"Severe Storm, High Tides, and Flooding",1962-03-09,1962-03-09,
DR-126,Disaster,1962-03-09,1962.0,3.0,1.0,9.0,Friday,DE,Delaware,South,,Flood,"Severe Storms, High Tides, and Flooding",1962-03-09,1962-03-09,
DR-127,Disaster,1962-03-09,1962.0,3.0,1.0,9.0,Friday,MD,Maryland,South,,Flood,"Severe Storms, High Tides, and Flooding",1962-03-09,1962-03-09,
DR-128,Disaster,1962-03-12,1962.0,3.0,1.0,12.0,Monday,KY,Kentucky,South,,Flood,Floods,1962-03-12,1962-03-12,1964-11-09
DR-131,Disaster,1962-05-10,1962.0,5.0,2.0,10.0,Thursday,NE,Nebraska,Midwest,,Flood,Floods,1962-05-10,1962-05-10,
DR-133,Disaster,1962-09-05,1962.0,9.0,3.0,5.0,Wednesday,IA,Iowa,Midwest,,Flood,Floods,1962-09-05,1962-09-05,
DR-134,Disaster,1962-09-05,1962.0,9.0,3.0,5.0,Wednesday,NE,Nebraska,Midwest,,Flood,Floods,1962-09-05,1962-09-05,
DR-135,Disaster,1962-10-10,1962.0,10.0,4.0,10.0,Wednesday,MS,Mississippi,South,,Chemical,Chlorine Barge Accident,1962-10-10,1962-10-10,1970-06-02
DR-139,Disaster,1962-11-05,1962.0,11.0,4.0,5.0,Monday,LA,Louisiana,South,,Chemical,Chlorine Barge Accident,1962-11-05,1962-11-05,1963-07-12
DR-140,Disaster,1962-11-12,1962.0,11.0,4.0,12.0,Monday,GU,Guam,Territory,,Typhoon,Typhoon Karen,1962-11-12,1962-11-12,
DR-146,Disaster,1963-03-02,1963.0,3.0,1.0,2.0,Saturday,WA,Washington,West,,Flood,Floods,1963-03-02,1963-03-02,
DR-155,Disaster,1963-07-04,1963.0,7.0,3.0,4.0,Thursday,WY,Wyoming,West,,Flood,Heavy Rains and Flooding,1963-07-04,1963-07-04,1964-12-03
DR-157,Disaster,1963-08-02,1963.0,8.0,3.0,2.0,Friday,AR,Arkansas,South,,Flood,Heavy Rains and Flooding,1963-08-02,1963-08-02,
DR-169,Disaster,1964-04-01,1964.0,4.0,2.0,1.0,Wednesday,CA,California,West,,Other,Seismic Sea Wave,1964-04-01,1964-04-01,
DR-171,Disaster,1964-06-08,1964.0,6.0,2.0,8.0,Monday,VI,Virgin Islands,Territory,,Drought,Extreme Drought Conditions,1964-06-08,1964-06-08,1966-07-12
DR-172,Disaster,1964-06-09,1964.0,6.0,2.0,9.0,Tuesday,MT,Montana,West,,Flood,Heavy Rains and Flooding,1964-06-09,1964-06-09,
DR-173,Disaster,1964-07-08,1964.0,7.0,3.0,8.0,Wednesday,MO,Missouri,Midwest,,Flood,Severe Storms and Flooding,1964-07-08,1964-07-08,
DR-175,Disaster,1964-09-08,1964.0,9.0,3.0,8.0,Tuesday,FL,Florida,South,,Hurricane,Hurricane Cleo,1964-09-08,1964-09-08,
DR-176,Disaster,1964-09-10,1964.0,9.0,3.0,10.0,Thursday,FL,Florida,South,,Hurricane,Hurricane Dora,1964-09-10,1964-09-10,1966-08-08
DR-177,Disaster,1964-09-10,1964.0,9.0,3.0,10.0,Thursday,GA,Georgia,South,,Hurricane,Hurricane Dora,1964-09-10,1964-09-10,
