declarationNumber,declarationType,declarationDate,state,county,incidentType,incidentTitle,startDate,endDate,closeDate,individualAssistanceProgram,individualsAndHouseholdsProgram,publicAssistanceProgram,hazardMitigationProgram,year,month
DR-1,Disaster,1953-05-02,GA,,Tornado,Tornado,05/02/1953,05/02/1953,06/01/1954,Yes,No,Yes,Yes,1953,5
DR-2,Disaster,1953-05-15,TX,,Tornado,Tornado and Heavy Rainfall,05/15/1953,05/15/1953,01/01/1958,Yes,No,Yes,Yes,1953,5
DR-3,Disaster,1953-05-29,LA,,Flood,Flood,05/29/1953,05/29/1953,02/01/1960,Yes,No,Yes,Yes,1953,5
DR-4,Disaster,1953-06-02,MI,,Tornado,Tornado,06/02/1953,06/02/1953,02/01/1956,Yes,No,Yes,Yes,1953,6
DR-5,Disaster,1953-06-06,MT,,Flood,Floods,06/06/1953,06/06/1953,12/01/1955,Yes,No,Yes,Yes,1953,6
DR-6,Disaster,1953-06-09,MI,,Tornado,Tornado,06/09/1953,06/09/1953,03/30/1956,Yes,No,Yes,Yes,1953,6
DR-7,Disaster,1953-06-11,MA,,Tornado,Tornado,06/11/1953,06/11/1953,06/01/1956,Yes,No,Yes,Yes,1953,6
DR-8,Disaster,1953-06-11,IA,,Flood,Flood,06/11/1953,06/11/1953,11/01/1955,Yes,No,Yes,Yes,1953,6
DR-9,Disaster,1953-06-19,TX,,Flood,Flood,06/19/1953,06/19/1953,01/01/1958,Yes,No,Yes,Yes,1953,6
DR-11,Disaster,1953-07-02,NH,,Fire,Forest Fire,07/02/1953,07/02/1953,02/01/1956,Yes,No,Yes,Yes,1953,7
DR-12,Disaster,1953-10-22,FL,,Flood,Flood,10/22/1953,10/22/1953,05/01/1956,Yes,No,Yes,Yes,1953,10
DR-13,Disaster,1953-10-30,AK,,Other,Severe Hardship,10/30/1953,10/30/1953,09/01/1957,Yes,No,Yes,Yes,1953,10
DR-14,Disaster,1953-12-06,MS,,Tornado,Tornado,12/06/1953,12/06/1953,06/01/1956,Yes,No,Yes,Yes,1953,12
DR-15,Disaster,1954-02-05,CA,,Flood,Flood and Erosion,02/05/1954,02/05/1954,09/01/1957,Yes,No,Yes,Yes,1954,2
DR-16,Disaster,1954-03-17,GA,,Tornado,Tornado,03/17/1954,03/17/1954,11/01/1956,Yes,No,Yes,Yes,1954,3
DR-17,Disaster,1954-06-23,IA,,Flood,Flood,06/23/1954,06/23/1954,02/01/1956,Yes,No,Yes,Yes,1954,6
DR-18,Disaster,1954-07-01,TX,,Flood,Flood,07/01/1954,07/01/1954,07/01/1959,Yes,No,Yes,Yes,1954,7
DR-19,Disaster,1954-07-14,NV,,Earthquake,Earthquake,07/14/1954,07/14/1954,08/01/1957,Yes,No,Yes,Yes,1954,7
DR-20,Disaster,1954-07-31,SD,,Flood,Flood,07/31/1954,07/31/1954,02/01/1956,Yes,No,Yes,Yes,1954,7
DR-21,Disaster,1954-08-04,WV,,Flood,Flood,08/04/1954,08/04/1954,05/01/1957,Yes,No,Yes,Yes,1954,8
DR-22,Disaster,1954-09-02,MA,,Hurricane,Hurricanes,09/02/1954,09/02/1954,12/01/1956,Yes,No,Yes,Yes,1954,9
DR-23,Disaster,1954-09-02,RI,,Hurricane,Hurricanes,09/02/1954,09/02/1954,12/01/1956,Yes,No,Yes,Yes,1954,9
DR-24,Disaster,1954-09-13,ME,,Hurricane,Hurricanes,09/13/1954,09/13/1954,12/01/1956,Yes,No,Yes,Yes,1954,9
DR-25,Disaster,1954-09-17,CT,,Hurricane,Hurricanes,09/17/1954,09/17/1954,01/01/1957,Yes,No,Yes,Yes,1954,9
DR-26,Disaster,1954-10-07,NY,,Hurricane,Hurricanes,10/07/1954,10/07/1954,12/01/1956,Yes,No,Yes,Yes,1954,10
DR-27,Disaster,1954-10-13,NM,,Flood,Flood,10/13/1954,10/13/1954,12/01/1959,Yes,No,Yes,Yes,1954,10
DR-28,Disaster,1954-10-17,NC,,Hurricane,Hurricane,10/17/1954,10/17/1954,01/01/1959,Yes,No,Yes,Yes,1954,10
DR-29,Disaster,1954-10-17,SC,,Hurricane,Hurricane,10/17/1954,10/17/1954,01/01/1959,Yes,No,Yes,Yes,1954,10
DR-30,Disaster,1954-10-26,IN,,Flood,Flood,10/26/1954,10/26/1954,03/01/1956,Yes,No,Yes,Yes,1954,10
DR-31,Disaster,1954-11-10,AK,,Other,Severe Hardship,11/10/1954,11/10/1954,09/01/1957,Yes,No,Yes,Yes,1954,11
