state,incidentType,count
CA,Fire,114
TX,Fire,107
OK,Fire,47
NM,Fire,45
CO,Fire,43
NV,Fire,39
OK,Storm,39
FL,Fire,37
TX,Flood,36
AL,Storm,36
WA,Fire,36
CA,Flood,35
FL,Hurricane,34
MO,Storm,33
KS,Storm,33
AZ,Fire,31
TN,Storm,30
KY,Storm,29
MS,Storm,29
WV,Flood,29
WA,Flood,28
ND,Flood,28
NE,Storm,27
AR,Storm,27
IA,Flood,27
SD,Storm,27
PA,Flood,26
MT,Fire,26
LA,Flood,26
NY,Storm,26
IA,Storm,25
NC,Hurricane,25
MN,Flood,25
IL,Storm,25
IN,Storm,24
FL,Storm,24
MN,Storm,24
OH,Storm,24
WV,Storm,23
NY,Flood,23
LA,Hurricane,23
ME,Storm,22
TX,Storm,22
KY,Flood,22
OK,Flood,22
OR,Fire,21
MO,Flood,21
VT,Storm,21
TX,Hurricane,20
NH,Storm,20
ND,Storm,20
WI,Storm,19
NY,Snow,19
NJ,Storm,19
NE,Flood,18
NM,Flood,18
AK,Storm,18
WA,Storm,17
TN,Flood,17
VA,Storm,17
AR,Flood,17
PA,Storm,16
LA,Storm,16
FM,Typhoon,16
SD,Flood,16
AL,Hurricane,16
VT,Flood,15
AR,Tornado,15
HI,Fire,15
IL,Flood,15
MS,Hurricane,15
WI,Flood,15
OR,Storm,15
OH,Flood,15
GA,Storm,15
VA,Flood,15
TX,Tornado,15
UT,Fire,15
OR,Flood,14
WY,Fire,14
MP,Typhoon,14
VA,Hurricane,13
CO,Flood,13
FL,Flood,13
AZ,Flood,13
KS,Flood,13
SD,Fire,13
ME,Flood,13
GA,Tornado,13
MA,Storm,13
ID,Flood,12
VI,Hurricane,12
NY,Hurricane,12
AK,Fire,12
AK,Flood,12
MS,Tornado,12
MT,Storm,12
CA,Storm,12
CA,Earthquake,12
IN,Flood,12
NM,Storm,12
ME,Snow,11
SC,Hurricane,11
PR,Hurricane,11
MI,Flood,11
GU,Typhoon,11
NV,Flood,11
AL,Flood,10
OK,Tornado,10
CT,Hurricane,10
IL,Tornado,10
MS,Flood,10
AZ,Storm,10
NH,Flood,10
MT,Flood,10
MA,Hurricane,10
GA,Fire,9
DC,Storm,9
RI,Hurricane,9
PR,Storm,9
HI,Flood,9
NJ,Hurricane,9
GA,Flood,9
MD,Flood,9
OK,Ice,9
MD,Hurricane,8
MA,Snow,8
UT,Flood,8
MI,Storm,8
NC,Flood,8
CT,Snow,8
CT,Storm,8
PR,Flood,8
PA,Hurricane,8
GA,Hurricane,8
NC,Storm,8
DE,Hurricane,8
NJ,Flood,8
HI,Storm,7
MD,Storm,7
ID,Storm,7
MA,Flood,7
IL,Snow,7
MD,Snow,7
AR,Ice,6
VA,Snow,6
VA,Fire,6
TN,Fire,6
NH,Hurricane,6
NJ,Snow,6
ID,Fire,6
OH,Tornado,6
DC,Hurricane,6
RI,Snow,6
FL,Winter,6
PW,Typhoon,6
NH,Snow,6
IN,Snow,6
KS,Tornado,6
MO,Ice,6
MI,Tornado,6
WI,Tornado,6
AL,Tornado,6
WV,Hurricane,5
ME,Hurricane,5
MI,Snow,5
LA,Tornado,5
KY,Snow,5
NE,Tornado,5
NV,Storm,5
KY,Tornado,5
MO,Tornado,5
PA,Snow,5
DE,Snow,5
RI,Storm,5
SC,Ice,5
WY,Flood,5
DE,Storm,5
NC,Snow,4
NC,Ice,4
WI,Snow,4
IN,Tornado,4
IA,Tornado,4
NC,Tornado,4
CO,Storm,4
TN,Tornado,4
SD,Snow,4
AS,Typhoon,4
HI,Earthquake,4
OH,Snow,4
AL,Fire,4
WV,Snow,4
AK,Other,4
MH,Typhoon,4
NE,Fire,4
ND,Snow,3
KY,Fire,3
HI,Volcano,3
GA,Ice,3
FM,Drought,3
ND,Tornado,3
MN,Tornado,3
NJ,Fire,3
MA,Fire,3
SC,Storm,3
TN,Ice,3
UT,Storm,3
CA,Dam/Levee Break,3
TX,Other,3
CA,Winter,3
AS,Hurricane,3
SC,Flood,3
SC,Fire,3
VI,Flood,3
VI,Drought,3
WA,Mud/Landslide,3
VI,Storm,3
DC,Snow,3
CT,Flood,3
GU,Storm,2
LA,Snow,2
PA,Tornado,2
PR,Drought,2
HI,Hurricane,2
NY,Ice,2
OH,Other,2
OH,Hurricane,2
OR,Earthquake,2
HI,Other,2
IA,Ice,2
IA,Snow,2
NY,Fire,2
NY,Other,2
VA,Drought,2
WY,Storm,2
VT,Hurricane,2
VT,Ice,2
WA,Earthquake,2
WY,Tornado,2
AS,Storm,2
VT,Drought,2
CO,Snow,2
DE,Flood,2
TX,Winter,2
CT,Tornado,2
NC,Fire,2
MN,Ice,2
MA,Tornado,2
WV,Drought,2
AR,Hurricane,2
AK,Winter,2
WV,Fire,2
MN,Fire,2
NJ,Drought,2
NJ,Other,2
NY,Chemical,2
NV,Snow,2
NE,Ice,2
IL,Ice,2
KS,Fire,2
KY,Ice,2
AK,Earthquake,2
ME,Water,2
MA,Ice,1
LA,Other,1
MN,Drought,1
MN,Hurricane,1
LA,Fire,1
LA,Ice,1
MA,Terrorism,1
MA,Other,1
WY,Drought,1
AL,Drought,1
AL,Snow,1
AR,Drought,1
WI,Drought,1
WI,Hurricane,1
NV,Hurricane,1
NM,Hurricane,1
NV,Drought,1
NV,Earthquake,1
NM,Drought,1
NH,Fire,1
NE,Snow,1
NJ,Ice,1
NH,Ice,1
NE,Drought,1
ND,Drought,1
ND,Fire,1
IL,Hurricane,1
ID,Volcano,1
IN,Ice,1
IN,Hurricane,1
NE,Hurricane,1
MT,Tornado,1
MT,Snow,1
MT,Hurricane,1
MT,Drought,1
MS,Snow,1
MS,Ice,1
KS,Ice,1
KY,Hurricane,1
KY,Chemical,1
KS,Snow,1
KS,Other,1
KS,Hurricane,1
KY,Other,1
LA,Chemical,1
NC,Mud/Landslide,1
MP,Flood,1
MO,Hurricane,1
MO,Fire,1
MO,Drought,1
MN,Other,1
MN,Snow,1
MS,Chemical,1
NC,Drought,1
AK,Snow,1
WY,Chemical,1
WV,Chemical,1
MH,Fire,1
MH,Drought,1
MD,Tornado,1
ME,Winter,1
MA,Water,1
MI,Hurricane,1
MI,Fire,1
MI,Drought,1
MI,Chemical,1
MH,Storm,1
MH,Flood,1
MI,Winter,1
MI,Other,1
HI,Mud/Landslide,1
ID,Snow,1
NY,Human Cause,1
ID,Earthquake,1
ID,Drought,1
HI,Tsunami,1
ID,Hurricane,1
HI,Typhoon,1
DE,Drought,1
DC,Other,1
DC,Earthquake,1
CO,Tornado,1
PR,Fire,1
PR,Other,1
RI,Chemical,1
RI,Other,1
PA,Ice,1
OR,Water,1
FL,Other,1
FL,Human Cause,1
FL,Tornado,1
FM,Fire,1
FM,Flood,1
GA,Drought,1
OK,Hurricane,1
OK,Snow,1
OR,Tsunami,1
OR,Drought,1
OK,Human Cause,1
PA,Drought,1
IA,Drought,1
IA,Hurricane,1
NY,Earthquake,1
NY,Drought,1
OH,Mud/Landslide,1
NY,Tornado,1
GU,Earthquake,1
GA,Winter,1
GA,Snow,1
TN,Snow,1
CO,Dam/Levee Break,1
CO,Drought,1
CA,Tsunami,1
CA,Water,1
CA,Other,1
UT,Drought,1
CA,Drought,1
CA,Hurricane,1
TX,Ice,1
TX,Drought,1
SC,Drought,1
SC,Tornado,1
SD,Tornado,1
SD,Drought,1
TN,Hurricane,1
VA,Terrorism,1
AZ,Hurricane,1
AZ,Drought,1
AS,Earthquake,1
AS,Flood,1
AS,Drought,1
VA,Earthquake,1
VA,Winter,1
AR,Snow,1
UT,Tornado,1
WA,Drought,1
AZ,Winter,1
VT,Snow,1
WA,Water,1
WA,Volcano,1
WA,Ice,1
WY,Ice,1
